Programme;SIREN;NIC;Dénomination;Montant;Objet 2020;Convention 2020;Date de création de l'établissement;Etat administratif;Siège;Répertoire national des associations;Catégorie juridique;COG : code;COG : libellé;Activité;Nomenclature de l'activité;Economie sociale et solidaire
147;378831762;34;DES ENFANTS UN QUARTIER LA VIE;         20 500,00;Cohésion sociale : famille, relais parents-enfants. COVID : fonds de soutien aux associations.;;25/10/2001;Non déterminé;Non;W832010994;9220;83137;Toulon;94.99Z;NAFRev2;O
147;378848584;17;MAISON POUR TOUS;         47 000,00;Animation sociale des quartiers;;03/07/1989;Non déterminé;Non;W561002173;9220;56121;Lorient;88.99B;NAFRev2;O
147;378849475;25;ASS UFOLEP COMITE DES ARDENNES;          2 000,00;Dispositif d'insertion sociale par le sport, la culture ou  l'éducation;;07/03/2013;Non déterminé;Non;;9220;8105;Charleville-Mézières;93.12Z;NAFRev2;O
147;378855597;35;CENTRE SOCIO-CULTUREL DES EPINETTES;         41 500,00;Animation sociale des quartiers;;01/01/2013;Non déterminé;Non;W932001524;9220;93032;Gagny;94.99Z;NAFRev2;O
147;378877708;40;LA MAISON DE L'EMPLOI DE LILLE LOMM;         36 200,00;Animation sociale des quartiers;;22/07/2013;Non déterminé;Non;W595005300;9220;59350;Lille;88.99B;NAFRev2;O
147;378885958;17;CENTRE TECHNICO SOCIAL CADURCIEN;         10 335,00;Animation sociale des quartiers;;01/07/1990;Non déterminé;Non;W461000389;9220;46042;Cahors;88.99B;NAFRev2;O
147;378913941;43;ASS ACCESS DROIT POUR ENFANTS ET JE;         15 000,00;Dispositif d'insertion sociale par le sport, la culture ou  l'éducation;;24/08/2009;Non déterminé;Non;;9260;67482;Strasbourg;94.99Z;NAFRev2;O
147;378913941;43;ASS ACCESS DROIT POUR ENFANTS ET JE;         75 000,00;Dispositif d'insertion sociale par le sport, la culture ou  l'éducation;;24/08/2009;Non déterminé;Non;;9260;67482;Strasbourg;94.99Z;NAFRev2;O
147;378913941;43;ASS ACCESS DROIT POUR ENFANTS ET JE;         11 000,00;Dispositif d'insertion sociale par le sport, la culture ou  l'éducation;;24/08/2009;Non déterminé;Non;;9260;67482;Strasbourg;94.99Z;NAFRev2;O
147;378918098;47;OFFICE VALENCIENNOIS JEUNESSE ET SP;          9 065,00;Animation sociale des quartiers;;01/03/2016;Non déterminé;Non;W596000355;9220;59606;Valenciennes;93.19Z;NAFRev2;O
147;378930762;34;C.S.C DU THOUARSAIS;         12 300,00;Dispositif d'insertion sociale par le sport, la culture ou  l'éducation;;03/06/2019;Non déterminé;Non;;9220;79329;Thouars;94.99Z;NAFRev2;O
147;378938716;40;ASSOCIATION D'ACCOMPAGNEMENT VERS L;          3 000,00;Insertion sociale et dans l'emploi;;16/10/2013;Non déterminé;Non;W883000479;9220;88413;Saint-Dié-des-Vosges;88.99B;NAFRev2;O
147;378945034;15;UNION COMMERCANTS ET ARTISANS DE LI;          1 000,00;Dispositif d'insertion sociale par le sport, la culture ou  l'éducation;;04/05/1990;Non déterminé;Non;W112000532;9220;11206;Limoux;94.99Z;NAFRev2;O
147;378952600;13;ASSOCIATION D'ANIMATION ET DE GESTI;          1 000,00;Animation sociale des quartiers;;01/07/1990;Non déterminé;Non;W561001639;9220;56121;Lorient;88.99B;NAFRev2;O
147;378952600;13;ASSOCIATION D'ANIMATION ET DE GESTI;         37 000,00;Animation sociale des quartiers;;01/07/1990;Non déterminé;Non;W561001639;9220;56121;Lorient;88.99B;NAFRev2;O
